feature_ids	Ath_WT_R1_expression	Ath_WT_R2_expression	Ath_hy5_R1_expression	Ath_hy5_R2_expression
AT1G56290	0.5268894064891967	0.0	2.7941348073202334	3.1700755047481386
AT1G44910	0.0	0.0	2.1729501093847485	2.6096401315767066
AT2G46560	1.653116524096311	1.2437774496197154	3.2939980926202344	3.2440121671590956
AT5G13730	1.694443864555318	2.423594046447904	4.755752179935198	5.023260520983994
AT3G16000	2.71642001376727	2.812739430220274	4.937568115377134	5.528867955548276
AT5G23110	0.8638835047366399	1.1070244299468766	2.3856956336644055	2.762305912256648
AT5G38840	0.0	0.0	2.557970069273798	3.1628446085387787
AT2G41090	4.807168788500966	4.327661473739819	7.200130716662997	7.241971951223976
AT1G62040	5.4668408685540255	5.4032549382968975	3.4715149492060684	3.125032943567865
AT5G20410	4.382574498866087	4.174760175413001	0.0	0.7410846494417659
AT4G02020	0.5664092329186553	1.608482570214986	2.8552446289066795	3.514552826715853
AT4G19510	0.5275240730610988	1.5300741752546436	2.9029560889196024	3.0316392456540764
AT3G29390	1.38282830077551	1.84391376801847	3.945166067040932	3.876877388945633
AT3G24080	3.5239241329456044	3.586920274349576	6.23211638784191	6.332379515650227
AT3G61010	1.348123262782968	0.0	3.5983252697286763	4.2805001534629215
AT1G50840	1.2226633143251913	1.8860634166098367	3.3671210055486225	3.6812095142749035
AT3G58110	1.4218886176605685	2.5149859316414775	4.0221818297128955	4.283647080996606
AT1G76810	3.3865888961453336	3.0655891937637594	5.103430638258402	5.5262675724686305
AT2G25660	0.6302202519830781	1.056753276161787	3.039487123125881	3.946329741343035
AT5G55220	2.6912675735745073	3.598029693831533	5.227936392043867	5.5145508730573845
AT3G54760	2.451359872984708	2.0314568281506316	4.78913314630042	4.803366326726326
AT5G18590	1.7324981706236258	0.0	3.235466901161194	3.7794121459353582
AT5G02810	1.4205781647837281	1.740303317773006	4.477744685468485	4.045710421816622
AT5G24980	5.383629332477756	3.949783053458266	0.0	0.0
AT3G62750	2.9129473673522663	2.390522465964757	4.438274021504306	4.902124899425302
AT2G15880	1.5852882790278509	1.3833804538545653	4.251547622403866	3.82725230518355
AT5G48460	0.0	0.0	3.1479051560034486	3.6595358831854634
AT5G44120	0.0	0.0	3.902682449272177	3.605003701126431
AT1G77300	0.8627929839366153	1.0530670920880154	2.988985769349228	2.7415746770225233
AT3G61420	0.0	0.0	1.8116832813530215	2.940224162708497
AT2G16750	0.0	0.0	2.4265073131220114	1.9137224266969237
AT5G25560	1.9176998638560159	2.6314801832519024	4.455812465029463	4.372967258313222
AT3G22790	0.0	0.27192845089192774	2.186629069893884	2.246494494823803
AT1G16960	3.146505357050007	4.04226766609051	0.0	0.0
AT5G08450	2.3737099855058896	2.7759118341210027	5.0778008770412635	4.897242943357145
AT5G06160	0.8755311946077025	0.0	3.127138969988322	3.772296364727722
AT4G03000	1.7639249697114296	1.6698502301975737	3.434993049060717	3.5646381479725506
AT4G08580	0.0	1.676182636245434	3.6652841053536664	3.398559095874588
AT3G20790	0.0	0.0	3.3621177711749417	3.2199405243896244
AT4G14330	0.0	0.0	2.3861908866917974	2.6641116118287793
AT1G25540	1.9519177939541499	1.8240688570438475	3.7423038710628527	3.59099409574229
AT2G06025	2.036594211018483	2.945486953251254	4.413425602069061	4.604506424455023
AT5G06960	0.0	0.0	2.4722369534497113	2.879852055221353
AT1G01320	4.042995174527629	3.9769333657506447	6.4091990933564995	6.395747585286928
AT3G16290	2.6454443902243403	3.2572974138385655	4.966092719257794	5.181169398888059
